1
14
1 356 21.1 		FFA-W3-211
81.714287000000	0.219853000000	1.453229000000	-0.428482000000
85.571426000000	0.117140000000	1.482904000000	-0.443684000000
85.857140000000	0.109624000000	1.484306000000	-0.444810000000
90.000000000000	0.000000000000	1.500000000000	-0.461137000000
94.142860000000	-0.076737000000	1.484306000000	-0.467494000000
94.428574000000	-0.081998000000	1.482904000000	-0.467932000000
98.285713000000	-0.153897000000	1.453229000000	-0.473851000000
98.857140000000	-0.164424000000	1.448215000000	-0.474540000000
102.428574000000	-0.229991000000	1.407313000000	-0.475796000000
103.285713000000	-0.245447000000	1.396622000000	-0.475899000000
106.571426000000	-0.303619000000	1.347405000000	-0.475317000000
107.714287000000	-0.323366000000	1.329214000000	-0.475011000000
110.714287000000	-0.373511000000	1.274639000000	-0.473080000000
112.142860000000	-0.396652000000	1.247458000000	-0.471540000000
114.857140000000	-0.438558000000	1.190417000000	-0.467526000000
116.571426000000	-0.464003000000	1.153164000000	-0.464991000000
119.000000000000	-0.497851000000	1.096375000000	-0.461318000000
121.000000000000	-0.524400000000	1.048445000000	-0.457700000000
123.142860000000	-0.550721000000	0.994354000000	-0.453579000000
125.428574000000	-0.577161000000	0.935665000000	-0.448968000000
127.285713000000	-0.596783000000	0.886363000000	-0.445221000000
129.857147000000	-0.622017000000	0.817385000000	-0.439839000000
131.428574000000	-0.635993000000	0.774536000000	-0.437876000000
134.285721000000	-0.659197000000	0.696302000000	-0.433898000000
135.571426000000	-0.668721000000	0.661093000000	-0.432144000000
138.714279000000	-0.689566000000	0.575188000000	-0.427856000000
139.714279000000	-0.695858000000	0.548293000000	-0.428592000000
143.142853000000	-0.714828000000	0.456823000000	-0.430399000000
143.857147000000	-0.718983000000	0.438388000000	-0.431390000000
147.571426000000	-0.737904000000	0.343930000000	-0.436482000000
148.000000000000	-0.740655000000	0.333581000000	-0.435862000000
150.285721000000	-0.749206000000	0.279288000000	-0.432430000000
152.000000000000	-0.755620000000	0.239147000000	-0.429194000000
152.571426000000	-0.740199000000	0.226431000000	-0.426161000000
154.000000000000	-0.701647000000	0.195183000000	-0.418577000000
